SeniorCitizen,tenure,TotalCharges,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,OnlineSecurity_No internet service,OnlineSecurity_Yes,TechSupport_No internet service,TechSupport_Yes,Churn_probabilidad
0,25,2362.1,False,False,False,False,False,False,False,False,False,0.6968232545970658
0,52,1012.4,True,False,True,False,False,True,False,True,False,0.02394064190080487
1,7,503.6,False,False,False,False,False,False,True,False,False,0.6892962840138371
0,13,973.45,False,False,False,True,False,False,False,False,False,0.787218994978064
1,15,1424.95,False,False,False,True,False,False,False,False,False,0.8478693804214206
0,22,1193.05,True,False,True,False,False,False,False,False,True,0.3169612835199771
0,19,367.55,False,False,False,False,True,True,False,True,False,0.21911462831455933
0,23,678.75,False,False,False,False,False,False,False,False,True,0.4297581150385106
0,72,8182.75,False,True,False,False,False,False,True,False,True,0.12086666314706267
1,72,6929.4,False,True,False,False,False,False,False,False,False,0.20482878201985102
0,59,5580.8,False,False,False,False,False,False,False,False,True,0.4656560452976319
0,70,5437.75,False,True,True,False,False,False,True,False,True,0.03400983139162695
0,70,6994.8,False,True,True,False,False,False,True,False,True,0.0725163495907999
0,9,970.45,False,False,False,True,False,False,False,False,True,0.7659687696071692
0,3,86.35,False,False,False,False,True,True,False,True,False,0.4102085450072071
1,17,1752.45,False,False,False,True,False,False,False,False,False,0.8524971764177829
0,28,1992.2,True,False,False,False,False,False,False,False,False,0.4300709492130371
0,10,583.0,False,False,False,True,False,False,False,False,True,0.7153306774541643
0,11,267.35,False,False,False,False,False,True,False,True,False,0.35888053760838556
1,72,7550.3,False,True,True,False,False,False,True,False,False,0.15424919861866546
0,8,551.35,False,False,False,False,True,False,False,False,False,0.6912338193788681
1,69,1356.3,False,True,True,False,False,True,False,True,False,0.004672137325494086
0,39,854.8,False,True,False,False,False,True,False,True,False,0.020453055092752446
0,67,3281.65,False,True,True,False,False,False,True,False,False,0.020429948030935324
0,39,791.15,True,False,False,False,True,True,False,True,False,0.04329018196684079
0,54,3566.7,False,True,True,False,False,False,True,False,True,0.03720412482806345
0,1,74.5,False,False,False,True,False,False,False,False,False,0.8370553927184556
0,72,4264.0,False,True,False,True,False,False,False,False,True,0.04665141783152574
0,10,1008.55,False,False,False,True,False,False,True,False,False,0.7205515985479678
0,13,1162.85,False,False,False,False,True,False,False,False,False,0.6879465199450878
0,35,3532.0,True,False,False,True,False,False,False,False,True,0.5154978419072606
0,12,432.25,False,False,False,False,True,False,False,False,True,0.5244649989704021
0,31,2929.75,False,False,True,False,False,False,True,False,True,0.42098103277507815
0,53,5935.1,False,False,False,False,False,False,False,False,True,0.6078740657215478
0,1,19.5,False,False,False,False,True,True,False,True,False,0.4339187459997072
0,30,625.05,True,False,False,False,True,True,False,True,False,0.06984732612480661
0,46,3548.3,False,False,True,False,False,False,False,False,False,0.49308536700194083
0,19,1761.05,False,False,False,False,True,False,False,False,False,0.6687696312111976
0,23,1221.55,False,False,False,True,False,False,False,False,True,0.5972478203681202
1,15,757.1,False,False,True,False,False,False,False,False,True,0.623846881654271
0,48,982.95,False,True,True,False,False,True,False,True,False,0.011182930553566135
0,25,2448.75,False,False,False,True,False,False,False,False,False,0.7816539454947156
0,52,5426.85,True,False,False,False,False,False,False,False,True,0.38146621321332347
0,12,858.6,False,False,False,False,False,False,True,False,False,0.584232237716283
0,48,1203.95,True,False,False,False,False,True,False,True,False,0.036981307552778904
0,38,741.5,False,True,False,False,True,True,False,True,False,0.0166703010480269
0,18,607.3,False,False,False,True,False,False,False,False,True,0.6005983654424121
0,45,2221.55,False,False,True,False,False,False,False,False,False,0.34484979919801456
0,12,1021.75,False,False,False,True,False,False,False,False,False,0.8019824114819999
1,66,6471.85,False,True,False,False,False,False,True,False,False,0.14521342687991992
0,72,1566.9,False,True,True,False,False,True,False,True,False,0.0031392433815414186
0,70,3058.15,False,True,False,False,False,False,True,False,True,0.011221439317437869
0,27,2423.4,False,False,False,False,False,False,False,False,False,0.6752766772225591
0,1,20.0,False,False,False,False,True,True,False,True,False,0.4339816789766774
1,13,1233.65,False,False,False,True,False,False,False,False,False,0.852134492696156
0,65,5957.9,False,True,False,False,True,False,True,False,True,0.05314387942466288
0,14,1046.5,False,False,False,True,False,False,False,False,False,0.7824388052768793
0,17,1451.6,False,False,False,True,False,False,False,False,False,0.7841971231683657
0,31,683.25,True,False,False,False,True,True,False,True,False,0.06754961436156925
0,24,609.05,False,True,False,False,True,True,False,True,False,0.03824147753074856
0,3,65.95,False,False,False,True,False,True,False,True,False,0.5600092638357885
0,17,1313.55,False,False,False,True,False,False,False,False,False,0.7719856622983056
0,66,4447.55,False,True,False,False,False,False,True,False,True,0.029205620865662422
0,45,2296.25,False,True,True,False,False,False,True,False,False,0.05074878216851967
0,35,3236.35,False,False,True,False,False,False,False,False,True,0.5378391267561902
0,40,1564.05,True,False,False,False,True,False,True,False,True,0.0782711948260298
0,10,832.05,False,False,False,False,True,False,True,False,False,0.5602073815567746
0,52,3410.6,True,False,False,False,True,False,True,False,False,0.12732954879978153
0,13,232.1,False,False,True,False,False,True,False,True,False,0.3064124054152682
1,43,3838.75,False,False,False,True,False,False,False,False,False,0.7529018216962488
0,41,775.6,False,False,False,True,False,True,False,True,False,0.13087541831545133
1,52,2566.3,False,False,False,True,False,False,False,False,True,0.37437747108207675
0,71,6506.15,False,True,True,False,False,False,True,False,True,0.05392188618270739
0,61,6300.15,False,False,False,True,False,False,True,False,False,0.5759019497902544
0,26,1183.8,False,False,True,False,False,False,False,False,True,0.4234947156842329
0,72,4855.35,False,True,False,False,False,False,True,False,True,0.024381987857491523
0,42,3373.4,False,True,True,False,False,False,False,False,True,0.12053634437362418
0,57,3687.85,False,False,False,False,False,False,True,False,True,0.1747517189173875
0,9,197.4,False,True,False,False,True,True,False,True,False,0.0794608858561845
0,9,672.55,False,False,False,True,False,False,False,False,False,0.8048700038491852
0,33,1462.6,False,False,True,False,False,False,False,False,False,0.43984728871153844
0,1,19.45,False,False,False,False,True,True,False,True,False,0.4339124528191773
0,7,522.95,False,False,False,True,False,False,False,False,False,0.8133363258484366
0,1,71.55,False,False,False,False,True,False,False,False,False,0.7350139480711411
0,65,1292.6,False,True,False,False,True,True,False,True,False,0.003796497287262881
0,10,834.1,False,False,False,False,False,False,False,False,False,0.73794987718566
0,70,6602.9,True,False,False,False,False,False,False,False,False,0.3362529766327912
0,29,2933.2,False,False,True,False,False,False,False,False,False,0.6845402195796648
0,21,2157.95,False,False,False,True,False,False,False,False,False,0.8004769571339357
0,1,90.75,False,False,False,True,False,False,False,False,False,0.838187901659242
0,5,109.8,False,False,False,False,True,True,False,True,False,0.38164668509768856
0,56,4952.95,False,False,False,False,True,False,False,False,False,0.47647796111193563
0,35,3030.6,True,False,False,True,False,False,False,False,False,0.5471258781044169
0,10,242.4,True,False,False,False,True,True,False,True,False,0.18689157484108607
0,31,1520.1,False,True,False,False,False,False,True,False,True,0.06279997939360692
1,37,3171.15,False,False,False,True,False,False,False,False,False,0.762511635133182
1,57,5427.05,False,False,False,False,False,False,False,False,False,0.6477004239834588
0,34,917.15,True,False,True,False,False,True,False,True,False,0.07086635776377324
0,3,287.4,False,False,True,False,False,False,True,False,False,0.6345887762585366
0,4,319.6,False,False,True,False,False,False,False,False,False,0.746297055401242
0,54,1035.7,False,True,False,False,True,True,False,True,False,0.006838095329496314
0,6,111.65,False,False,False,False,True,True,False,True,False,0.3664781866191694
0,22,1374.35,True,False,False,False,False,False,True,False,False,0.3143275400485285
0,23,2085.45,False,False,True,False,False,False,False,False,True,0.5868074065849913
0,68,3975.7,True,False,False,False,False,False,True,False,True,0.05442497223334973
0,48,935.9,False,True,False,False,True,True,False,True,False,0.009611941491278125
0,34,635.9,False,False,False,False,True,True,False,True,False,0.10722461871171858
0,41,3320.75,True,False,False,False,False,False,True,False,True,0.19534813035719537
0,9,724.65,False,False,False,True,False,False,False,False,False,0.8090286816732347
1,18,1806.35,False,False,True,False,False,False,False,False,True,0.699797575794158
0,35,3418.2,False,False,False,True,False,False,False,False,True,0.6749637549014003
0,55,4238.45,False,False,False,True,False,False,False,False,True,0.45915368383262695
0,54,5760.65,False,True,True,False,False,False,True,False,True,0.10628812582069332
1,2,149.55,False,False,False,True,False,False,False,False,False,0.8720344315096363
0,52,5487.0,False,True,False,True,False,False,True,False,True,0.16082838128825394
0,72,4908.25,False,True,False,False,False,False,True,False,True,0.025035158738437466
0,9,564.4,False,False,False,False,True,False,False,False,False,0.6784902174183434
0,3,200.2,False,False,False,True,False,False,False,False,False,0.8276997677181408
1,4,273.4,False,False,False,True,False,False,True,False,False,0.78156447843678
0,69,5388.15,False,True,False,False,False,False,True,False,True,0.038456913387498556
0,67,2545.7,False,True,True,False,False,False,True,False,True,0.009649142574373375
0,4,324.3,False,False,False,True,False,False,False,False,False,0.827393057288748
0,13,597.0,False,False,True,False,False,False,True,False,True,0.4180543736337435
0,45,3533.6,False,True,False,False,True,False,True,False,True,0.05691509715316057
0,68,7110.75,True,False,False,False,False,False,True,False,False,0.2963833612758145
0,69,4885.85,True,False,True,False,False,False,True,False,True,0.07299806243679949
0,70,4214.25,False,True,False,False,False,False,True,False,True,0.020109424989209364
0,1,19.9,False,False,False,False,True,True,False,True,False,0.4339690922109054
0,45,1216.6,True,False,True,False,False,True,False,True,False,0.04136234934948421
0,37,755.4,True,False,False,False,False,True,False,True,False,0.05916851270536863
0,10,411.45,True,False,False,False,True,False,True,False,True,0.2526534270752506
0,1,89.35,False,False,False,True,False,False,False,False,False,0.8380905822408427
0,29,1958.45,True,False,False,False,False,False,True,False,True,0.21001871964536195
1,72,7447.7,False,True,True,False,False,False,True,False,True,0.10543889377441099
0,2,143.35,False,False,False,True,False,False,False,False,False,0.832858138023263
0,24,1315.35,False,False,False,False,True,False,True,False,True,0.30689722255016594
0,4,317.25,False,False,False,True,False,False,False,False,False,0.8268765381082032
0,72,1304.8,False,True,True,False,False,True,False,True,False,0.002745806779248438
0,11,929.3,False,False,False,False,False,False,True,False,False,0.6087682237252211
0,44,868.1,False,True,False,False,True,True,False,True,False,0.012046314065666927
0,62,1297.35,False,True,False,False,False,True,False,True,False,0.0057420415344903095
0,70,1782.05,False,True,False,False,True,True,False,True,False,0.003512988174706771
1,1,25.05,False,False,False,False,True,False,False,False,False,0.7868859405157195
0,4,443.9,True,False,False,True,False,False,False,False,True,0.6265747434084116
1,2,187.45,False,False,False,True,False,False,False,False,False,0.8741859232023759
0,41,2364.0,True,False,True,False,False,False,False,False,False,0.26253550731406955
1,1,19.45,False,False,False,True,False,True,False,True,False,0.6589729008379227
1,72,5981.65,False,True,True,False,False,False,True,False,False,0.07547768853745891
0,63,6841.4,False,True,False,False,False,False,False,False,True,0.1818786812128163
0,68,5461.45,True,False,True,False,False,False,False,False,False,0.22782648562857766
1,59,5890.0,True,False,False,True,False,False,False,False,False,0.5954108404266161
1,52,2555.05,False,False,True,False,False,False,True,False,False,0.23193564875637243
1,26,2710.25,False,False,False,True,False,False,False,False,False,0.8393576783523775
0,66,3789.2,False,True,False,False,False,False,True,False,True,0.021018790573824633
1,56,5471.75,True,False,False,True,False,False,True,False,True,0.3564199712708238
0,72,5401.9,False,True,True,False,False,False,True,False,True,0.029416232775100436
1,2,141.65,False,False,False,True,False,False,False,False,False,0.8715820326151851
0,68,8035.95,True,False,True,False,False,False,True,False,True,0.29699353539809037
0,61,5264.5,True,False,False,False,False,False,True,False,True,0.1500241778361866
0,1,20.05,False,False,False,False,True,True,False,True,False,0.4339879723914985
0,2,33.7,False,False,True,False,False,True,False,True,False,0.45128461186017577
0,2,31.55,False,False,False,False,True,True,False,True,False,0.4193494581491643
1,68,5683.6,False,False,False,True,False,False,False,False,False,0.6025242460040686
0,9,576.95,False,False,False,False,False,False,True,False,True,0.5022737707682138
0,13,1060.6,False,False,False,True,False,False,False,False,False,0.794603194415921
0,22,470.2,False,False,False,False,True,True,False,True,False,0.1953757302824501
0,66,1673.8,False,True,True,False,False,True,False,True,False,0.004910674354061338
0,8,178.7,False,False,False,False,True,True,False,True,False,0.34423544671515527
0,2,143.9,False,False,False,False,True,False,False,False,False,0.729393211119714
0,3,154.55,False,False,False,False,True,False,False,False,True,0.6335068738280006
0,5,452.7,False,False,False,True,False,False,False,False,False,0.8274007986128775
0,13,268.45,False,True,True,False,False,True,False,True,False,0.07260258553073594
0,53,3363.8,False,False,True,False,False,False,False,False,True,0.27560997681811994
0,3,49.65,False,False,False,False,False,True,False,True,False,0.45862788778998614
0,46,4422.95,True,False,True,False,False,False,False,False,False,0.4239674037787432
0,39,1630.4,True,False,False,False,False,False,True,False,True,0.10430378014895778
0,30,3242.5,False,False,False,True,False,False,False,False,True,0.7249970814300261
0,23,2249.1,False,False,True,False,False,False,False,False,False,0.6939415323849906
0,40,854.9,True,False,False,False,False,True,False,True,False,0.05153390314905885
0,45,2796.45,True,False,True,False,False,False,True,False,True,0.11563665249683296
0,53,978.0,False,True,False,False,False,True,False,True,False,0.008782519146476122
1,72,8046.85,False,True,False,True,False,False,True,False,False,0.2766128952755246
0,28,487.95,False,True,True,False,False,True,False,True,False,0.031645924159056135
0,49,3306.85,False,True,False,False,False,False,True,False,True,0.048767365780045105
0,1,74.6,False,False,False,False,False,False,False,False,False,0.7751836369639828
0,20,1683.7,False,False,False,False,True,False,False,False,True,0.5531184935871089
0,53,3297.0,True,False,True,False,False,False,False,False,False,0.20691519223925203
0,67,4671.65,False,True,True,False,False,False,True,False,True,0.028144864013917643
0,11,926.25,False,False,False,True,False,False,False,False,True,0.7372184556675366
0,52,4433.3,False,False,False,False,False,False,False,False,True,0.4340349759149626
0,1,90.55,False,False,False,True,False,False,False,False,False,0.8381740017757436
0,48,2627.35,False,True,True,False,False,False,True,False,False,0.049437513794060306
0,7,480.75,False,False,False,False,True,False,False,False,False,0.6975074782227522
0,7,515.75,False,False,True,False,False,False,True,False,True,0.5055081417425846
0,12,966.55,False,False,False,True,False,False,False,False,False,0.797452208263762
0,40,973.95,False,True,False,False,True,True,False,True,False,0.016468756444218424
0,55,4323.35,False,True,False,False,False,False,False,False,False,0.13192431480423258
0,20,403.15,True,False,False,False,True,True,False,True,False,0.11452275951844054
0,1,35.55,False,False,False,True,False,False,False,False,False,0.8343148772902704
0,72,5986.55,False,True,False,False,False,False,True,False,True,0.04271326516655894
0,63,6705.7,False,True,True,False,False,False,True,False,True,0.09650907971631416
0,70,4504.9,False,True,False,False,False,False,True,False,True,0.02326371924718413
0,8,504.05,False,False,False,False,True,False,False,False,True,0.598130975200344
0,1,45.65,False,False,False,True,False,False,False,False,False,0.8350290395328072
0,16,284.35,False,True,False,False,True,True,False,True,False,0.05389522135339339
0,11,321.05,False,False,False,True,False,False,False,False,False,0.7512755759348942
0,11,815.5,False,False,False,True,False,False,False,False,False,0.795562295448066
0,41,3645.05,False,False,False,False,False,False,False,False,False,0.6077318226942927
0,14,1054.8,False,True,False,False,False,False,True,False,True,0.13897767234204694
0,61,5321.25,False,True,True,False,False,False,False,False,True,0.09636291740865276
0,20,1871.15,False,False,False,False,False,False,True,False,False,0.5825131331390568
0,47,5127.95,False,False,False,True,False,False,False,False,False,0.768865671004582
0,2,130.5,False,True,False,False,True,False,True,False,True,0.15127952646084591
0,41,2511.3,True,False,False,False,False,False,True,False,False,0.19055321840495185
0,72,1841.2,False,True,False,False,False,True,False,True,False,0.003938940837032129
0,72,5714.2,False,True,False,False,False,False,True,False,True,0.037357548780940664
0,46,4664.2,True,False,True,False,False,False,True,False,False,0.3188341244303057
0,1,19.8,False,False,False,False,True,True,False,True,False,0.4339565055303067
0,29,1242.45,False,False,False,False,True,False,True,False,True,0.23492402058858855
0,37,3810.55,False,False,False,True,False,False,False,False,False,0.7657130442809442
0,19,1093.2,False,False,True,False,False,False,False,False,True,0.5263014911346955
0,49,3824.2,True,False,True,False,False,False,False,False,False,0.30777833610376387
0,13,659.35,False,False,False,False,True,False,False,False,False,0.6300754195721435
0,22,1049.05,False,False,False,True,False,False,True,False,False,0.5446527088261082
1,53,5206.55,True,False,False,False,True,False,True,False,True,0.24151953621544262
0,24,1210.4,False,False,False,False,False,False,True,False,False,0.43329309318160525
0,37,813.3,False,True,False,False,True,True,False,True,False,0.018437006124818075
0,6,324.25,False,False,False,False,True,False,False,False,False,0.6944493943386081
0,7,604.7,False,False,False,False,True,False,True,False,False,0.5799880470689315
0,12,229.6,True,False,False,False,False,True,False,True,False,0.1990358868716014
0,71,1753.0,False,True,False,False,False,True,False,True,False,0.004020372656935885
0,26,2083.1,True,False,True,False,False,False,False,False,True,0.36016223822324356
0,6,323.45,False,False,False,False,True,False,False,False,False,0.6943624057894824
0,32,2766.4,False,False,False,False,False,False,True,False,True,0.405883860999881
0,47,2723.4,False,False,False,False,False,False,False,False,False,0.3943884540693025
0,31,697.7,False,True,False,False,True,True,False,True,False,0.025591047509856083
0,52,4326.8,False,False,False,False,False,False,True,False,True,0.28982721794743355
0,60,3603.45,False,True,True,False,False,False,False,False,True,0.045097699813524086
0,48,3094.65,True,False,False,True,False,False,False,False,False,0.34689444509942546
0,45,867.3,True,False,False,False,False,True,False,True,False,0.03787163092041264
0,39,3201.55,False,True,False,True,False,False,False,False,True,0.19903972437869086
1,1,85.7,False,False,False,True,False,False,False,False,False,0.8756742737422876
0,1,69.6,False,False,False,True,False,False,False,False,False,0.8367126474522276
0,6,434.5,False,False,False,True,False,False,True,False,False,0.7142279341960474
0,9,684.85,False,False,False,True,False,False,False,False,False,0.8058579505313925
0,72,8468.2,False,True,True,False,False,False,True,False,True,0.12728701431478925
1,71,3765.05,False,False,False,False,False,False,False,False,False,0.23812031439059178
0,71,1387.45,False,True,False,False,False,True,False,True,False,0.0033359308557875168
0,64,5948.7,False,True,True,False,False,False,True,False,False,0.0906037766572267
0,28,543.8,False,False,False,False,False,True,False,True,False,0.1742028346445082
0,70,8250.0,False,True,True,False,False,False,True,False,True,0.12948817203433846
1,39,3759.05,False,False,False,False,False,False,False,False,False,0.7186044750236167
0,16,321.4,False,False,False,True,False,True,False,True,False,0.3816598706896582
1,66,7491.75,True,False,False,True,False,False,False,False,True,0.5897618167603668
1,21,2025.1,False,False,False,False,False,False,False,False,False,0.7742313944316458
0,44,3862.55,False,False,False,False,False,False,False,False,False,0.5871073860332078
1,54,5437.1,True,False,False,True,False,False,False,False,True,0.5247374892877691
0,4,245.15,False,False,False,True,False,False,True,False,False,0.7212078714424848
1,60,6668.35,False,True,False,False,False,False,True,False,True,0.15956058019978145
0,26,2349.8,False,False,True,False,False,False,True,False,False,0.5241686046229459
0,24,1846.65,False,True,True,False,False,False,True,False,False,0.1444697078915232
0,53,1110.35,False,True,False,False,True,True,False,True,False,0.007581794031615048
0,46,958.15,False,True,True,False,False,True,False,True,False,0.012575480378906333
0,56,4968.0,True,False,False,False,False,False,False,False,False,0.35493238539987026
0,7,369.25,True,False,False,True,False,False,True,False,False,0.5224378491518591
0,1,85.8,False,False,False,False,True,False,False,False,False,0.73643366136632
0,1,45.55,False,False,False,False,True,False,False,False,False,0.7324110261763359
0,60,1258.15,False,True,False,False,True,True,False,True,False,0.0051744631491669945
0,61,1252.0,True,False,True,False,False,True,False,True,False,0.015115235784267642
0,42,1445.3,True,False,False,False,True,False,False,False,True,0.1108437101995103
0,27,470.0,False,True,True,False,False,True,False,True,False,0.0334252360858837
0,9,754.65,False,False,False,False,False,False,False,False,False,0.7427608931679968
0,72,1423.65,False,True,False,False,False,True,False,True,False,0.0031826556512850788
0,23,478.1,True,False,True,False,False,True,False,True,False,0.11152049440185395
1,47,4504.55,False,False,False,True,False,False,False,False,True,0.691764287650138
1,54,1031.1,False,True,False,False,True,True,False,True,False,0.00927723524007284
1,2,181.65,False,False,True,False,False,False,False,False,False,0.8099400959063418
0,38,2193.2,False,True,False,False,False,False,True,False,True,0.0563479075587504
1,47,4747.2,False,False,False,True,False,False,False,False,False,0.7886303503123038
0,22,1292.2,True,False,True,False,False,False,True,False,True,0.21530965601413088
0,2,171.45,False,False,False,True,False,False,False,False,False,0.8348529060162992
0,72,5730.7,False,True,False,False,False,False,True,False,False,0.05433505032173846
1,58,2651.2,False,False,False,True,False,False,False,False,False,0.3821487565367389
0,69,5420.65,False,True,True,False,False,False,False,False,False,0.0887245214385038
0,18,1199.4,False,False,False,False,True,False,True,False,False,0.4760998944222245
0,55,1087.25,False,False,True,False,False,True,False,True,False,0.041495650031695266
0,46,4674.4,True,False,False,True,False,False,False,False,False,0.5764535521270512
0,5,86.05,False,False,False,False,True,True,False,True,False,0.3787789098385732
0,4,137.85,False,False,False,True,False,False,True,False,False,0.7100197267265107
1,5,477.7,False,False,False,True,False,False,False,False,False,0.8687552531185204
0,65,3874.1,True,False,False,False,False,False,True,False,False,0.08900531076113584
0,35,705.45,False,True,False,False,False,True,False,True,False,0.02454176361975598
1,45,4385.05,False,False,False,True,False,False,True,False,True,0.5750243042293166
0,2,57.4,False,False,False,True,False,True,False,True,False,0.5750675359199281
0,22,1790.65,False,False,False,True,False,False,False,False,False,0.7568217129205953
0,70,4858.7,False,True,True,False,False,False,True,False,False,0.03699631806238849
0,30,1923.5,False,False,False,False,False,False,True,False,True,0.3359406540191505
0,61,6521.9,True,False,False,True,False,False,True,False,False,0.42374359804625866
0,29,617.35,True,False,False,False,True,True,False,True,False,0.07397022076641384
0,61,6281.45,False,False,False,True,False,False,False,False,False,0.7052938505416478
0,25,2178.6,True,False,False,True,False,False,False,False,False,0.6010595304197289
0,71,7953.25,True,False,False,False,False,False,False,False,True,0.3922598711908284
0,1,35.0,False,False,False,True,False,False,False,False,False,0.8342759162231329
0,62,4300.45,False,False,True,False,False,False,False,False,False,0.33312763232381376
0,64,4764.0,False,False,False,False,True,False,True,False,False,0.21532334583100018
0,64,5817.45,False,True,False,False,True,False,True,False,True,0.05283132502603243
1,29,2357.75,False,False,False,True,False,False,False,False,False,0.7817028999501683
0,2,146.9,False,False,False,True,False,False,True,False,False,0.7372248926033858
0,1,19.65,False,False,False,False,False,True,False,True,False,0.48756193042493184
0,1,50.65,False,False,False,False,True,False,False,False,False,0.7329228765946832
0,45,1171.3,False,True,True,False,False,True,False,True,False,0.014943931430145085
0,66,7383.7,True,False,False,False,False,False,True,False,True,0.2734447215193574
0,54,5763.3,True,False,False,False,False,False,True,False,False,0.3464502367177136
0,70,5717.85,False,True,False,False,False,False,False,False,True,0.07313136765826081
1,37,3473.4,False,False,False,True,False,False,False,False,False,0.7894101604185013
1,3,260.9,False,False,False,True,False,False,False,False,False,0.8710624361001816
0,23,1284.2,False,False,False,False,False,False,False,False,True,0.5068490148138074
1,60,6029.0,True,False,True,False,False,False,False,False,False,0.4765098845390051
0,35,1175.85,False,False,False,False,True,False,False,False,True,0.2624978503370474
0,27,1972.35,False,False,False,False,True,False,True,False,False,0.4276960585933448
0,24,1208.15,False,True,False,False,True,False,True,False,True,0.06794728308648774
1,2,170.85,False,False,False,True,False,False,False,False,False,0.87324741792912
0,67,6056.15,True,False,True,False,False,False,True,False,False,0.19365963036963926
0,2,92.45,False,False,False,True,False,False,True,False,False,0.7317842338426548
0,1,20.4,False,False,False,False,True,True,False,True,False,0.4340320268911857
0,1,79.35,False,False,False,True,False,False,False,False,False,0.837394069802163
0,14,773.2,True,False,False,False,True,False,False,False,False,0.44969979554846107
1,38,3653.0,False,False,False,True,False,False,False,False,False,0.7937473022274042
0,1,70.1,False,False,False,True,False,False,False,False,False,0.8367476480252853
0,2,154.8,False,False,True,False,False,False,False,False,False,0.7550985771945853
0,12,927.35,False,False,False,True,False,False,True,False,False,0.6844103208036486
0,31,3082.1,True,False,False,False,False,False,True,False,False,0.37835131234337893
0,35,2495.15,True,False,False,False,True,False,False,False,True,0.2527436793782083
1,72,7920.7,False,True,False,False,False,False,True,False,False,0.1939288722719725
0,8,777.3,False,False,False,True,False,False,False,False,False,0.822944849440263
0,10,1037.75,False,False,False,True,False,False,False,False,False,0.8232329739438309
1,5,318.5,False,False,False,False,True,False,False,False,False,0.7673961847832661
0,63,5435.0,False,True,True,False,False,False,True,False,False,0.07559438004192133
0,71,1888.25,False,True,True,False,False,True,False,True,False,0.003949420630456267
1,46,4863.85,False,False,False,True,False,False,False,False,False,0.8087950966013947
0,52,1255.1,False,True,False,False,True,True,False,True,False,0.00871043110397382
0,1,46.3,False,False,False,False,True,False,False,False,False,0.7324863373287537
